127.0.0.1, 2018-04-23 16:24:57, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.006399
127.0.0.1, 2018-04-23 16:24:57, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000841
127.0.0.1, 2018-04-23 16:24:57, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000719
127.0.0.1, 2018-04-23 16:24:57, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001420
127.0.0.1, 2018-04-23 16:24:57, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000560
127.0.0.1, 2018-04-23 16:24:57, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000411
127.0.0.1, 2018-04-23 16:24:57, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000564
127.0.0.1, 2018-04-23 16:24:57, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000565
127.0.0.1, 2018-04-23 16:24:57, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000540
127.0.0.1, 2018-04-23 16:24:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000653
127.0.0.1, 2018-04-23 16:25:01, GET, /start/default/user, HTTP/1.1, 303, 0.038911
127.0.0.1, 2018-04-23 16:25:01, GET, /start/default/user/login, HTTP/1.1, 200, 0.039417
127.0.0.1, 2018-04-23 16:25:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000386
127.0.0.1, 2018-04-23 16:25:19, POST, /start/default/user/login, HTTP/1.1, 303, 0.028203
127.0.0.1, 2018-04-23 16:25:19, GET, /start/default/index, HTTP/1.1, 200, 0.025022
127.0.0.1, 2018-04-23 16:25:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2018-04-23 16:25:26, GET, /start/default/edit/1, HTTP/1.1, 200, 0.028556
127.0.0.1, 2018-04-23 16:25:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
127.0.0.1, 2018-04-23 16:25:32, POST, /start/default/edit/1, HTTP/1.1, 303, 0.028027
127.0.0.1, 2018-04-23 16:25:32, GET, /start/default/index, HTTP/1.1, 200, 0.025679
127.0.0.1, 2018-04-23 16:25:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000344
127.0.0.1, 2018-04-23 16:25:44, GET, /start/default/edit/1, HTTP/1.1, 200, 0.047586
127.0.0.1, 2018-04-23 16:25:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000353
127.0.0.1, 2018-04-23 16:27:33, GET, /start/default/index, HTTP/1.1, 200, 0.113762
127.0.0.1, 2018-04-23 16:27:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000236
127.0.0.1, 2018-04-23 16:35:06, GET, /start/default/index, HTTP/1.1, 200, 0.033572
